region_short,reviews,unique_places,avg_google_review_rating,avg_place_rating,avg_sentiment_compound,positive_share,neutral_share,negative_share,theme_mention_share
Navarra,457,107,4.519,4.494,0.497,78.775,10.722,10.503,56.236
Torino,484,103,4.539,4.509,0.593,84.091,7.025,8.884,63.43
